game,name,set_id,number,image_url
mtg,Evolving Wilds,m15,243,https://cards.scryfall.io/normal/front/2/5/2553b8ae-e5af-40ba-8b3b-d5652919c9bb.jpg?1562784028
mtg,"A-Mishra, Excavation Prodigy",bro,A-140,https://cards.scryfall.io/normal/front/2/5/2553c1f3-0382-4be3-8f8c-c99251ad814e.jpg?1705118144
mtg,"Azlask, the Swelling Scourge",m3c,17,https://cards.scryfall.io/normal/front/2/5/25542498-0459-4579-be7c-6f9e531377e7.jpg?1721158644
mtg,Drag the Canal,pmkm,199p,https://cards.scryfall.io/normal/front/2/5/25545d18-3568-488e-bcab-188447654611.jpg?1707510057
mtg,Arasta of the Endless Web,mar,32,https://cards.scryfall.io/normal/front/2/5/255544be-db0f-4dcc-8787-f05652cd2684.jpg?1775115436
mtg,Inspiring Call,tle,168,https://cards.scryfall.io/normal/front/2/5/2555ec7b-5cc2-4ffd-9344-6368019feff9.jpg?1764118848
mtg,Archmage's Newt,otj,316,https://cards.scryfall.io/normal/front/2/5/25563be1-71f1-4f70-8527-02c5855a0b9d.jpg?1712356590
mtg,Faceless One,clb,1,https://cards.scryfall.io/normal/front/2/5/25564fba-5765-457b-8dd3-f26b877221b8.jpg?1778821680
mtg,Barrensteppe Siege,tdm,171,https://cards.scryfall.io/normal/front/2/5/2556a35b-2229-42c7-8cb3-c8c668403dd2.jpg?1743204657
mtg,Reef Worm,mh3,271,https://cards.scryfall.io/normal/front/2/5/25576181-a5a4-4baf-a2b4-fbfe13fb9df6.jpg?1717013599
mtg,Screaming Swarm,dbl,342,https://cards.scryfall.io/normal/front/2/5/25583bb7-9071-40ff-b4b3-d9587ccf91df.jpg?1673162055
mtg,Crystalline Armor,tle,137,https://cards.scryfall.io/normal/front/2/5/2558ce86-ee30-4075-b991-bfb5f7513a5e.jpg?1764118645
mtg,Rakdos Charm,pa1,7,https://cards.scryfall.io/normal/front/2/5/255942f6-e57f-40e2-89bf-04f07212cdec.jpg?1750836641
mtg,House Cartographer // House Cartographer,adsk,15,https://cards.scryfall.io/normal/front/2/5/25594ff8-cf60-4438-b269-b3fc56af5c7d.jpg?1729046938
mtg,Grafted Identity,mid,57,https://cards.scryfall.io/normal/front/2/5/2559846b-03d6-4a2c-97e1-c71f107e9f24.jpg?1634348937
mtg,Psionic Sliver,tsp,72,https://cards.scryfall.io/normal/front/2/5/2559ca03-4442-47c5-bd6e-84e71cfa6ca5.jpg?1562902815
mtg,Johan,bchr,77,https://cards.scryfall.io/normal/front/2/5/255af372-436e-4654-a2a4-2dd1a397db05.jpg?1681080811
mtg,Black Vise,ced,234,https://cards.scryfall.io/normal/front/2/5/255c93fb-59b3-474f-93c3-bf543b570732.jpg?1559591572
mtg,Master Symmetrist,stx,138,https://cards.scryfall.io/normal/front/2/5/255cdc39-6ad8-4831-9718-6712cb17654c.jpg?1666629845
mtg,Cat,sld,27,https://cards.scryfall.io/normal/front/2/5/255dcc91-7b3d-4b58-85f3-b21be805966e.jpg?1575842279
mtg,Sword of Once and Future,mom,375,https://cards.scryfall.io/normal/front/2/5/255e402f-5083-4ce4-a807-ba17b949e384.jpg?1779251166
mtg,Hit the Mother Lode,plci,153s,https://cards.scryfall.io/normal/front/2/5/255ebdd8-2bbe-4a0f-8aaf-c0aa815db0c7.jpg?1701304102
onepiece,Rebecca,PRB-02,OP05-091,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-091_r1.png?260518
onepiece,Mary Geoise,PRB-02,OP05-097,https://en.onepiece-cardgame.com/images/cardlist/card/OP05-097_r1.png?260518
onepiece,Gion,PRB-02,OP06-044,https://en.onepiece-cardgame.com/images/cardlist/card/OP06-044_r1.png?260518
onepiece,Charlotte Pudding,PRB-02,OP06-047,https://en.onepiece-cardgame.com/images/cardlist/card/OP06-047_r1.png?260518
onepiece,Ama no Murakumo Sword,PRB-02,OP06-056,https://en.onepiece-cardgame.com/images/cardlist/card/OP06-056_r2.png?260518
onepiece,Gravity Blade Raging Tiger,PRB-02,OP06-058,https://en.onepiece-cardgame.com/images/cardlist/card/OP06-058_p1.png?260518
onepiece,GERMA 66,PRB-02,OP06-078,https://en.onepiece-cardgame.com/images/cardlist/card/OP06-078_r1.png?260518
onepiece,You're the One Who Should Disappear.,PRB-02,OP06-115,https://en.onepiece-cardgame.com/images/cardlist/card/OP06-115_r1.png?260518
onepiece,Crocodile,PRB-02,OP07-040,https://en.onepiece-cardgame.com/images/cardlist/card/OP07-040_p2.png?260518
onepiece,Crocodile,PRB-02,OP07-040,https://en.onepiece-cardgame.com/images/cardlist/card/OP07-040_r1.png?260518
onepiece,Sanji,PRB-02,OP07-064,https://en.onepiece-cardgame.com/images/cardlist/card/OP07-064_r1.png?260518
onepiece,Slow-Slow Beam Sword,PRB-02,OP07-076,https://en.onepiece-cardgame.com/images/cardlist/card/OP07-076_p1.png?260518
onepiece,Franky,PRB-02,OP07-107,https://en.onepiece-cardgame.com/images/cardlist/card/OP07-107_r1.png?260518
onepiece,He Possesses the World's Most Brilliant Mind,PRB-02,OP07-114,https://en.onepiece-cardgame.com/images/cardlist/card/OP07-114_p1.png?260518
onepiece,Portgas.D.Ace,PRB-02,OP07-119,https://en.onepiece-cardgame.com/images/cardlist/card/OP07-119_r1.png?260518
onepiece,Scratchmen Apoo,PRB-02,OP08-087,https://en.onepiece-cardgame.com/images/cardlist/card/OP08-087_r1.png?260518
onepiece,Uta,PRB-02,OP09-002,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-002_r1.png?260518
onepiece,Limejuice,PRB-02,OP09-014,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-014_r2.png?260518
onepiece,Sabo,PRB-02,OP09-027,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-027_p1.png?260518
onepiece,Sabo,PRB-02,OP09-027,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-027_r1.png?260518
onepiece,Franky,PRB-02,OP09-072,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-072_r1.png?260518
onepiece,Gum-Gum Giant,PRB-02,OP09-078,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-078_r1.png?260518
onepiece,Catarina Devon,PRB-02,OP09-084,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-084_p1.png?260518
onepiece,Catarina Devon,PRB-02,OP09-084,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-084_r1.png?260518
onepiece,Jesus Burgess,PRB-02,OP09-086,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-086_p1.png?260518
onepiece,Jesus Burgess,PRB-02,OP09-086,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-086_r2.png?260518
onepiece,My Era...Begins!!,PRB-02,OP09-096,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-096_r1.png?260518
onepiece,Black Hole,PRB-02,OP09-098,https://en.onepiece-cardgame.com/images/cardlist/card/OP09-098_p1.png?260518
onepiece,Tony Tony.Chopper,PRB-02,OP10-011,https://en.onepiece-cardgame.com/images/cardlist/card/OP10-011_r1.png?260518
onepiece,God Thread,PRB-02,OP10-079,https://en.onepiece-cardgame.com/images/cardlist/card/OP10-079_r1.png?260518
onepiece,Roronoa Zoro,PRB-02,OP10-095,https://en.onepiece-cardgame.com/images/cardlist/card/OP10-095_r1.png?260518
onepiece,Basil Hawkins,PRB-02,OP10-109,https://en.onepiece-cardgame.com/images/cardlist/card/OP10-109_r1.png?260518
onepiece,X.Drake,PRB-02,OP10-114,https://en.onepiece-cardgame.com/images/cardlist/card/OP10-114_r1.png?260518
onepiece,Sanji,PRB-02,P-068,https://en.onepiece-cardgame.com/images/cardlist/card/P-068_r1.png?260518
onepiece,Koala,PRB-02,P-069,https://en.onepiece-cardgame.com/images/cardlist/card/P-069_r1.png?260518
onepiece,Portgas.D.Ace,PRB-02,P-074,https://en.onepiece-cardgame.com/images/cardlist/card/P-074_r1.png?260518
onepiece,Lim,PRB-02,P-079,https://en.onepiece-cardgame.com/images/cardlist/card/P-079_r1.png?260518
onepiece,Dracule Mihawk,PRB-02,P-081,https://en.onepiece-cardgame.com/images/cardlist/card/P-081_r1.png?260518
onepiece,Crocodile,PRB-02,P-082,https://en.onepiece-cardgame.com/images/cardlist/card/P-082_p2.png?260518
onepiece,Trafalgar Law,PRB-02,P-088,https://en.onepiece-cardgame.com/images/cardlist/card/P-088_p3.png?260518
onepiece,Trafalgar Law,PRB-02,PRB02-002,https://en.onepiece-cardgame.com/images/cardlist/card/PRB02-002.png?260518
onepiece,Sabo,PRB-02,PRB02-014,https://en.onepiece-cardgame.com/images/cardlist/card/PRB02-014.png?260518
onepiece,Shiryu,PRB-02,PRB02-015,https://en.onepiece-cardgame.com/images/cardlist/card/PRB02-015.png?260518
onepiece,Perona,PRB-02,ST12-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST12-005_r1.png?260518
onepiece,Plastic Surgery Shot,PRB-02,ST12-017,https://en.onepiece-cardgame.com/images/cardlist/card/ST12-017_r1.png?260518
onepiece,Sabo,PRB-02,ST13-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-007_p2.png?260518
onepiece,Sabo,PRB-02,ST13-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-007_r1.png?260518
onepiece,Portgas.D.Ace,PRB-02,ST13-010,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-010_p2.png?260518
onepiece,Monkey.D.Luffy,PRB-02,ST13-014,https://en.onepiece-cardgame.com/images/cardlist/card/ST13-014_r1.png?260518
onepiece,Roronoa Zoro,PRB-02,ST14-013,https://en.onepiece-cardgame.com/images/cardlist/card/ST14-013_r1.png?260518
